State 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959
AL 77.9 75.0 81.1 81.8 78.3 77.3 81.1 82.3 84.4 89.2
AK — — — — — — — — — 102.8
AZ 117.1 114.2 125.6 122.7 112.3 112.0 107.3 114.8 116.2 120.8
AR 67.5 64.9 62.0 66.6 66.0 65.2 75.9 74.4 74.4 83.4
CA — — — — — — — — — —
CO — — — — — — — — — —
CT 133.4 137.7 146.3 151.1 144.3 135.4 141.9 144.3 145.7 149.2
DE 166.0 169.4 167.4 172.6 155.6 137.4 139.8 139.9 141.9 152.3
DC 176.4 178.3 178.5 172.2 150.2 139.1 132.3 141.7 145.6 173.2
FL 127.8 124.2 127.5 128.7 122.8 124.8 127.0 130.2 131.8 134.2
GA 75.9 76.7 90.7 92.1 90.2 92.0 84.6 86.8 87.0 91.3
Hl — — — — — — — — — —
ID 101.2 98.6 99.0 104.2 95.2 94.4 91.4 93.5 93.6 99.4
IL 115.8 112.5 117.5 123.7 121.9 117.9 122.4 126.3 128.7 132.6
IN 117.4 117.1 117.0 119.6 115.8 111.7 114.5 115.3 116.9 121.6
IA 102.4 101.1 100.4 101.3 95.9 92.8 91.9 94.1 97.2 108.3
KS 97.2 94.6 99.7 102.8 98.0 95.8 96.9 95.9 98.9 104.3
KY 96.9 97.1 106.6 108.5 106.7 93.1 100.5 105.1 104.4 114.9
LA 85.5 83.4 81.9 88.1 86.3 86.3 91.7 95.6 97.3 101.4
ME 134.5 128.6 133.7 138.0 133.7 133.3 128.3 128.0 129.7 135.5
MD — — — — — — — — — 124.2
MA 109.2 126.4 121.4 125.2 118.9 117.0 121.2 124.3 126.6 128.4
Ml 120.3 122.2 125.1 130.5 127.6 120.5 122.4 123.0 119.2 122.8
MN 100.4 97.3 100.3 100.7 96.9 94.4 96.2 97.4 100.9 107.3
MS 76.4 78.3 78.8 76.8 77.1 73.7 71.7 73.7 75.7 80.0
MO — — — — — — 119.6 117.3 120.4 129.8
MT 133.5 117.5 123.6 129.7 121.1 118.6 123.9 119.3 100.6 113.7
NE 105.2 103.5 106.5 108.2 103.0 101.0 100.6 99.1 100.5 107.2
NV 176.4 176.7 184.1 202.3 185.3 184.7 175.4 165.2 172.4 188.3
NH 178.4 188.8 184.0 179.1 167.0 162.7 167.9 166.5 173.6 193.2
NJ 131.7 134.0 136.9 138.6 135.0 130.7 130.9 126.1 129.5 134.8
NM 93.7 93.9 91.4 95.2 94.0 92.3 89.4 86.1 94.0 98.6
NY 140.0 136.0 138.8 140.1 133.6 129.7 132.5 133.6 138.6 143.1
NC — — — — — — — — — —
ND 94.9 82.6 87.0 87.0 80.1 79.4 79.5 81.9 88.1 94.5
OH 119.6 125.6 131.5 134.9 125.9 117.5 121.7 124.2 125.1 126.4
OK 93.5 89.3 93.0 97.2 96.2 94.4 97.0 96.4 99.5 106.8
OR — — — — — — — — — —
PA 109.2 111.7 111.4 113.0 109.0 103.8 105.5 107.8 111.9 116.8
Rl 140.0 149.6 156.1 160.0 150.1 142.0 144.1 142.1 144.5 139.1
SC 93.5 70.9 87.3 91.1 83.9 81.3 81.9 81.2 84.3 91.0
SD 100.5 95.2 94.5 96.9 93.7 91.2 89.5 88.0 94.7 102.4
TN 85.2 84.4 78.9 82.1 81.2 81.5 82.4 85.3 86.7 93.8
TX 123.1 111.8 114.1 116.2 109.9 109.3 101.3 104.0 106.7 110.5
UT 71.6 72.0 72.3 72.3 66.4 61.9 62.5 62.8 63.0 66.7
VT 131.1 123.7 131.5 134.1 126.0 122.2 125.2 129.3 124.9 136.8
VA — — — — — — — — — —
WA 93.3 110.9 113.3 115.1 110.9 106.9 104.5 102.5 101.9 105.9
WV 118.0 127.1 99.3 96.3 90.9 80.8 92.6 95.0 99.0 101.7
Wl 106.8 103.5 106.3 107.8 103.6 101.1 99.8 103.0 101.1 107.8
WY — — 141.6 143.6 139.3 133.8 128.3 123.7 121.1 129.8
