State 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009
AL 96.2 90.5 84.8 82.2 87.9 82.4 83.3 80.2 78.0 75.6
AK 66.0 65.2 63.7 63.6 63.6 60.2 54.5 52.9 47.0 45.8
AZ 58.5 54.1 52.0 48.2 42.5 42.3 42.2 37.5 31.8 28.6
AR 99.4 101.7 87.2 91.6 79.8 82.1 81.4 78.4 77.0 72.6
CA 41.6 38.0 35.8 34.7 33.1 33.1 32.9 31.8 30.3 28.8
CO 73.0 70.4 66.2 63.8 60.7 57.9 53.1 51.1 48.4 46.0
CT 71.4 68.7 66.4 59.7 53.1 49.9 50.9 50.5 47.4 45.9
DE 140.7 141.4 142.4 184.2 176.0 178.8 183.6 185.2 133.3 122.8
DC 50.2 43.9 44.4 45.6 38.4 37.3 42.2 38.1 38.1 33.4
FL 82.5 78.6 77.9 76.7 74.2 75.3 71.9 69.9 67.9 70.6
GA 88.1 85.9 79.5 83.1 68.1 70.2 68.2 64.7 61.6 58.8
Hl 31.9 42.8 51.1 51.2 47.4 47.0 48.0 43.7 44.0 41.1
ID 66.9 66.7 63.3 64.7 60.8 58.3 58.8 58.6 55.9 52.4
IL 70.0 67.1 70.9 51.4 60.0 52.2 51.5 48.6 47.9 45.2
IN 125.5 121.4 121.4 101.1 97.7 96.1 98.7 102.3 81.7 78.9
IA 88.9 86.5 85.4 85.4 83.7 83.9 85.3 76.3 57.6 53.8
KS 79.8 78.1 77.5 60.7 56.3 54.9 55.4 53.1 51.7 49.1
KY 156.2 152.6 140.8 175.8 174.4 181.8 145.3 141.9 141.9 126.4
LA 104.3 83.1 97.0 82.9 85.6 91.0 77.3 86.7 87.9 82.6
ME 82.9 81.2 79.6 74.6 72.4 71.5 64.8 58.5 55.2 52.3
MD 57.7 58.1 56.0 49.5 48.9 48.7 48.9 48.3 43.3 35.4
MA 58.3 54.8 55.5 47.5 43.6 42.7 44.1 43.0 43.1 34.6
Ml 83.7 79.2 78.1 72.3 68.5 57.9 56.5 55.0 52.4 50.6
MN 76.0 74.2 71.0 71.7 73.0 65.7 55.6 53.0 50.9 48.7
MS 97.2 93.9 91.5 91.2 88.4 88.8 92.2 88.8 93.6 89.5
MO 113.8 107.8 99.2 106.4 105.0 103.4 105.1 100.6 100.1 97.2
MT 75.5 74.8 74.4 71.7 68.0 63.5 51.6 52.6 52.6 49.8
NE 77.6 69.8 77.3 68.4 61.8 61.0 59.5 60.1 63.2 59.8
NV 93.2 90.5 82.2 86.6 69.9 69.7 68.5 65.5 61.9 53.5
NH 147.3 136.1 131.6 146.2 148.4 138.6 135.5 131.6 113.5 116.6
NJ 60.1 57.7 58.4 48.1 43.0 37.5 37.7 34.2 34.2 32.6
NM 53.8 53.7 52.2 53.5 35.4 35.5 35.4 34.6 34.0 32.7
NY 57.8 48.0 46.5 35.3 33.7 32.4 32.4 32.3 31.5 24.8
NC 109.0 100.1 98.5 97.7 95.6 93.8 89.6 78.3 73.7 69.6
ND 72.5 70.1 68.5 65.7 65.7 66.0 73.7 75.9 74.0 72.9
OH 99.9 100.0 96.8 90.2 85.9 89.0 70.5 67.8 64.7 61.6
OK 108.9 108.1 102.0 103.0 101.6 98.2 87.2 85.8 86.7 79.0
OR 72.0 68.6 66.6 60.9 55.2 53.2 54.7 55.5 50.4 48.4
PA 87.9 86.8 86.9 74.7 68.9 62.8 62.4 60.8 61.4 59.2
Rl 83.1 79.5 74.7 67.3 61.1 49.4 47.3 45.3 43.6 44.7
SC 103.9 96.6 97.5 95.7 92.2 94.0 96.4 91.2 89.1 85.0
SD 75.1 78.1 75.4 73.2 69.3 68.7 69.2 58.5 49.5 49.7
TN 108.7 103.5 103.4 93.2 96.5 97.0 98.7 107.4 69.5 77.0
TX 69.3 62.1 58.3 58.9 55.8 55.4 54.3 49.3 43.9 42.3
UT 40.7 38.7 40.1 36.5 34.2 33.6 34.5 32.9 31.3 27.6
VT 88.9 94.3 93.0 77.9 69.2 63.9 63.9 54.5 51.6 48.9
VA 96.7 94.1 92.1 95.5 97.4 82.5 78.9 76.1 73.6 73.4
WA 52.8 50.2 45.0 40.1 37.7 37.2 33.7 32.4 31.9 30.1
WV 107.9 109.4 110.7 122.2 104.0 102.4 112.2 110.5 112.8 115.8
Wl 80.1 78.2 75.3 71.0 69.9 70.1 71.3 69.7 66.7 55.3
WY 90.5 92.9 93.2 115.5 47.5 76.4 78.8 83.0 79.0 76.7
