state,year,packs_percap
CT,1988,104.8
CT,1989,100.6
DE,1980,150.5
DE,1981,152.6
DE,1982,154.1
DE,1983,149.6
DE,1984,144
DE,1985,144.5
DE,1986,142.4
DE,1987,141
DE,1988,137.1
DE,1989,131.7
DC,1980,129.7
DC,1981,131.9
DC,1982,132
DC,1983,124.5
DC,1984,124.6
DC,1985,122.1
DC,1986,117.2
DC,1987,113
DC,1988,105.4
DC,1989,101.1
FL,1980,139
FL,1981,132.8
FL,1982,131.8
FL,1983,127.6
FL,1984,124.7
FL,1985,124.2
FL,1986,124.7
FL,1987,125.1
FL,1988,119.5
FL,1989,113.8
GA,1980,134
GA,1981,131.7
GA,1982,131.2
GA,1983,128.6
GA,1984,126.3
GA,1985,128.8
GA,1986,129
GA,1987,129.3
GA,1988,124.1
GA,1989,117.1
Hl,1980,89.4
Hl,1981,85.6
Hl,1982,77.7
Hl,1983,80
Hl,1984,75.7
Hl,1985,69.8
Hl,1986,61.2
Hl,1987,54.7
Hl,1988,55.6
Hl,1989,57.4
ID,1980,115.2
ID,1981,114.1
ID,1982,111.5
ID,1983,111.3
ID,1984,103.6
ID,1985,100.7
ID,1986,96.7
ID,1987,95
ID,1988,84.5
ID,1989,78.4
IL,1980,135.2
IL,1981,133
IL,1982,130.7
IL,1983,127.9
IL,1984,124
IL,1985,121.6
IL,1986,118.2
IL,1987,109.5
IL,1988,107.6
IL,1989,104.6
IN,1980,146.9
IN,1981,148.5
IN,1982,147.7
IN,1983,143
IN,1984,137.8
IN,1985,135.3
IN,1986,137.6
IN,1987,134
IN,1988,134
IN,1989,132.5
IA,1980,124.6
IA,1981,132.9
IA,1982,116.2
IA,1983,115.6
IA,1984,111.2
IA,1985,109.4
IA,1986,104.1
IA,1987,101.1
IA,1988,100.2
IA,1989,94.4
KS,1980,127.1
KS,1981,132
KS,1982,130.9
KS,1983,127.6
KS,1984,121.7
KS,1985,115.7
KS,1986,109.4
KS,1987,105.2
KS,1988,103.2
KS,1989,96.5
KY,1980,215.3
KY,1981,209.7
KY,1982,210.6
KY,1983,201.1
KY,1984,183.2
KY,1985,182.4
KY,1986,179.8
KY,1987,171.2
KY,1988,173.2
KY,1989,171.6
LA,1980,143.8
LA,1981,144
LA,1982,143.9
LA,1983,133.7
LA,1984,128.9
LA,1985,125
LA,1986,121.2
LA,1987,116.5
LA,1988,110.9
LA,1989,103.6
ME,1980,141.2
ME,1981,138.9
ME,1982,139.5
ME,1983,135.4
ME,1984,135.5
ME,1985,127.9
ME,1986,119
ME,1987,125
ME,1988,125
ME,1989,122.4
MD,1980,131.5
MD,1981,137.1
MD,1982,131.3
MD,1983,128.2
MD,1984,122.5
MD,1985,121.9
MD,1986,121.8
MD,1987,119.3
MD,1988,115
MD,1989,109
MA,1980,120.5
MA,1981,123.2
MA,1982,122.3
MA,1983,119.8
MA,1984,116
MA,1985,117.2
MA,1986,115.8
MA,1987,113.8
MA,1988,111.7
MA,1989,104.4
Ml,1980,140.7
Ml,1981,139.5
Ml,1982,137.3
Ml,1983,128.3
Ml,1984,128.2
Ml,1985,126.6
Ml,1986,126.5
Ml,1987,122.1
Ml,1988,121.1
Ml,1989,116.6
MN,1980,117.7
MN,1981,120.8
MN,1982,119.4
MN,1983,113.2
MN,1984,110.8
MN,1985,113
MN,1986,104.8
MN,1987,108.8
MN,1988,94.1
MN,1989,92.3
MS,1980,127
MS,1981,125.3
MS,1982,125.8
MS,1983,122.3
MS,1984,116.4
MS,1985,115.3
MS,1986,113.2
MS,1987,110
MS,1988,109
MS,1989,108.3
MO,1980,142.1
MO,1981,140.5
MO,1982,139.7
MO,1983,134.1
MO,1984,130
MO,1985,129.2
MO,1986,128.8
MO,1987,128.7
MO,1988,127.4
MO,1989,122.8
MT,1980,122
MT,1981,121.1
MT,1982,122.4
MT,1983,113.7
MT,1984,110.1
MT,1985,103.6
MT,1986,97.8
MT,1987,91.7
MT,1988,87.1
MT,1989,86.2
NE,1980,116.3
NE,1981,117
NE,1982,117.1
NE,1983,110.8
NE,1984,107.7
NE,1985,105.1
NE,1986,103.1
NE,1987,101.3
NE,1988,92.9
NE,1989,93.8
NV,1980,177.7
NV,1981,171.9
NV,1982,165.1
NV,1983,159.2
NV,1984,136.6
NV,1985,146.7
NV,1986,142.6
NV,1987,147.7
NV,1988,141.9
NV,1989,137.9
NH,1980,247.8
NH,1981,245.4
NH,1982,239.8
NH,1983,232.9
NH,1984,215.1
NH,1985,201.1
NH,1986,195.9
NH,1987,195.1
NH,1988,180.4
NH,1989,172.9
NJ,1980,124.3
NJ,1981,127.9
NJ,1982,126.3
NJ,1983,121.3
NJ,1984,117.8
NJ,1985,116.9
NJ,1986,115.5
NJ,1987,111.6
NJ,1988,107.8
NJ,1989,103
NM,1980,102.7
NM,1981,103
NM,1982,97.5
NM,1983,96.3
NM,1984,88.9
NM,1985,88
NM,1986,88.2
NM,1987,82.3
NM,1988,77.7
NM,1989,74.4
NY,1980,127.6
NY,1981,130.1
NY,1982,128.5
NY,1983,124.6
NY,1984,119.3
NY,1985,115.9
NY,1986,114
NY,1987,108.9
NY,1988,106.2
NY,1989,100.1
NC,1980,187.8
NC,1981,179.3
NC,1982,179
NC,1983,169.7
NC,1984,160.6
NC,1985,156.3
NC,1986,154.4
NC,1987,150.5
NC,1988,146
NC,1989,139.3
ND,1980,123.7
ND,1981,125.7
ND,1982,126.8
ND,1983,119.6
ND,1984,109.4
ND,1985,103.2
ND,1986,99.8
ND,1987,92.3
ND,1988,87.1
ND,1989,84.1
OH,1980,133.5
OH,1981,132.8
OH,1982,134
OH,1983,130
OH,1984,127.1
OH,1985,126.7
OH,1986,126.3
OH,1987,124.6
OH,1988,122.4
OH,1989,118.6
OK,1980,141.6
OK,1981,143.7
OK,1982,147
OK,1983,140
OK,1984,128.1
OK,1985,124.2
OK,1986,119.9
OK,1987,113.1
OK,1988,103.6
OK,1989,97.5
OR,1980,146.5
OR,1981,143.1
OR,1982,135.3
OR,1983,124.6
OR,1984,118
OR,1985,118.6
OR,1986,112
OR,1987,108.9
OR,1988,108.2
OR,1989,106.6
PA,1980,124
PA,1981,125.2
PA,1982,123.3
PA,1983,125.3
PA,1984,115.3
PA,1985,115.8
PA,1986,113.9
PA,1987,110.6
PA,1988,107.6
PA,1989,107.1
Rl,1980,149.3
Rl,1981,151.2
Rl,1982,146.3
Rl,1983,135.8
Rl,1984,136.9
Rl,1985,133.4
Rl,1986,136.3
Rl,1987,124.4
Rl,1988,138
Rl,1989,120.8
SC,1980,138.3
SC,1981,136.1
SC,1982,136
SC,1983,131.1
SC,1984,127
SC,1985,125.4
SC,1986,126.6
SC,1987,126.6
SC,1988,124.4
SC,1989,122.4
SD,1980,114.7
SD,1981,115.7
SD,1982,113
SD,1983,109.8
SD,1984,105.7
SD,1985,104.4
SD,1986,97
SD,1987,95.8
SD,1988,91.9
SD,1989,87.4
TN,1980,130.4
TN,1981,129.1
TN,1982,131.4
TN,1983,129
TN,1984,125.1
TN,1985,128.7
TN,1986,107.9
TN,1987,130.6
TN,1988,125.3
TN,1989,124.7
TX,1980,129.7
TX,1981,129
TX,1982,131.2
TX,1983,126.4
TX,1984,117.2
TX,1985,115.9
TX,1986,113.7
TX,1987,105.8
TX,1988,96.5
TX,1989,94.5
UT,1980,74.8
UT,1981,77.6
UT,1982,73.6
UT,1983,69
UT,1984,66.3
UT,1985,66.5
UT,1986,64.4
UT,1987,67.7
UT,1988,55
UT,1989,57
VT,1980,161.6
VT,1981,163.8
VT,1982,162.3
VT,1983,153.8
VT,1984,144.3
VT,1985,144.5
VT,1986,131.2
VT,1987,128.3
VT,1988,128.7
VT,1989,120.9
VA,1980,148.9
VA,1981,149.9
VA,1982,147.4
VA,1983,144.7
VA,1984,136.8
VA,1985,134.6
VA,1986,135.8
VA,1987,133
VA,1988,129.5
VA,1989,122.5
WA,1980,101.4
WA,1981,112.7
WA,1982,106.6
WA,1983,102.4
WA,1984,96.2
WA,1985,96.5
WA,1986,94.2
WA,1987,91.3
WA,1988,88.2
WA,1989,86.1
WV,1980,122.3
WV,1981,120.5
WV,1982,119.8
WV,1983,115.7
WV,1984,111.9
WV,1985,109.1
WV,1986,112.1
WV,1987,107.5
WV,1988,109.1
WV,1989,104
Wl,1980,117.6
Wl,1981,119.9
Wl,1982,115.6
Wl,1983,106.3
Wl,1984,105.6
Wl,1985,107
Wl,1986,105.4
Wl,1987,106
Wl,1988,102.6
Wl,1989,100.3
WY,1980,158.1
WY,1981,163.1
WY,1982,157.7
WY,1983,141.2
WY,1984,128.9
WY,1985,125.7
WY,1986,124.8
WY,1987,110.4
WY,1988,114.3
WY,1989,111.4
AL,1990,108.6
AL,1991,107.9
AL,1992,109.1
AL,1993,108.5
AL,1994,107.1
AL,1995,102.6
AL,1996,101.4
AL,1997,104.9
AL,1998,106.2
AL,1999,100.7
AK,1990,100.2
AK,1991,101.8
AK,1992,98.5
AK,1993,95.2
AK,1994,94.1
AK,1995,89.5
AK,1996,89.9
AK,1997,81.7
AK,1998,78.6
AK,1999,70.5
AZ,1990,88.9
AZ,1991,81.2
AZ,1992,79
AZ,1993,80.3
AZ,1994,79
AZ,1995,77.3
AZ,1996,71.4
AZ,1997,64.6
AZ,1998,66
AZ,1999,61.7
AR,1990,113.1
AR,1991,116.8
AR,1992,126
AR,1993,113.8
AR,1994,108.8
AR,1995,113
AR,1996,110.7
AR,1997,108.7
AR,1998,109.5
AR,1999,104.8
CA,1990,77.8
CA,1991,68.7
CA,1992,67.5
CA,1993,63.4
CA,1994,58.6
CA,1995,56.4
CA,1996,54.5
CA,1997,53.8
CA,1998,52.3
CA,1999,47.2
CO,1990,87.4
CO,1991,90.2
CO,1992,88.3
CO,1993,88.6
CO,1994,89.1
CO,1995,85.4
CO,1996,83.1
CO,1997,81.3
CO,1998,81.2
CO,1999,79.6
CT,1990,91.5
CT,1991,86.7
CT,1992,83.6
CT,1993,79.1
CT,1994,76.6
CT,1995,79.3
CT,1996,76
CT,1997,75.9
CT,1998,75.5
CT,1999,73.4
DE,1990,127.2
DE,1991,118.8
DE,1992,120
DE,1993,123.8
DE,1994,126.1
DE,1995,127.2
DE,1996,128.3
DE,1997,124.1
DE,1998,132.8
DE,1999,139.5
DC,1990,84.1
DC,1991,82.2
DC,1992,82.6
DC,1993,68
DC,1994,54.1
DC,1995,57.9
DC,1996,56
DC,1997,54.3
DC,1998,50.9
DC,1999,50.8
FL,1990,110.1
FL,1991,98.2
FL,1992,95.9
FL,1993,96.8
FL,1994,93.6
FL,1995,95.4
FL,1996,91.8
FL,1997,93
FL,1998,91.7
FL,1999,88.2
GA,1990,113.8
GA,1991,109.6
GA,1992,109.2
GA,1993,109.2
GA,1994,107.8
GA,1995,100.3
GA,1996,102.7
GA,1997,100.6
GA,1998,100.5
GA,1999,97.1
Hl,1990,48.9
Hl,1991,54.7
Hl,1992,51.3
Hl,1993,52.4
Hl,1994,44.2
Hl,1995,45.7
Hl,1996,51.6
Hl,1997,49.1
Hl,1998,35.5
Hl,1999,32.5
ID,1990,90.1
ID,1991,85.4
ID,1992,85.1
ID,1993,86.7
ID,1994,93
ID,1995,78.2
ID,1996,73.6
ID,1997,75
ID,1998,78.9
ID,1999,75.1
IL,1990,94.1
IL,1991,96.1
IL,1992,94.8
IL,1993,94.6
IL,1994,85.7
IL,1995,84.3
IL,1996,81.8
IL,1997,79.6
IL,1998,80.3
IL,1999,72.2
IN,1990,128.3
IN,1991,127.2
IN,1992,128.2
IN,1993,126.8
IN,1994,128.2
IN,1995,135.4
IN,1996,135.1
IN,1997,135.3
IN,1998,135.9
IN,1999,133.3
IA,1990,95.4
IA,1991,97.1
IA,1992,95.2
IA,1993,92.5
IA,1994,93.4
IA,1995,93
IA,1996,94
IA,1997,93.9
IA,1998,94
IA,1999,91.7
KS,1990,94.3
KS,1991,91.8
KS,1992,90
KS,1993,89.9
KS,1994,89.1
KS,1995,90.1
KS,1996,88.7
KS,1997,89.2
KS,1998,87.6
KS,1999,83.3
KY,1990,182.5
KY,1991,170.8
KY,1992,167.6
KY,1993,167.6
KY,1994,170.2
KY,1995,175.3
KY,1996,179
KY,1997,186.8
KY,1998,171.3
KY,1999,165.3
LA,1990,101.5
LA,1991,107.2
LA,1992,108.5
LA,1993,106.2
LA,1994,105.3
LA,1995,105.7
LA,1996,106.8
LA,1997,105.3
LA,1998,103.2
LA,1999,101
ME,1990,117.5
ME,1991,116.1
ME,1992,114.7
ME,1993,108.5
ME,1994,101.6
ME,1995,102.3
ME,1996,100
ME,1997,101.1
ME,1998,94.5
ME,1999,85.5
MD,1990,102.8
MD,1991,97.6
MD,1992,91.7
MD,1993,82.6
MD,1994,80.8
MD,1995,77.1
MD,1996,75
MD,1997,72.7
MD,1998,72
MD,1999,71.4
MA,1990,99.4
MA,1991,93.5
MA,1992,90.5
MA,1993,84.1
MA,1994,77
MA,1995,76.9
MA,1996,74.6
MA,1997,66.7
MA,1998,63.6
MA,1999,60.4
Ml,1990,114.4
Ml,1991,110.3
Ml,1992,107.6
Ml,1993,106.5
Ml,1994,112.9
Ml,1995,82.8
Ml,1996,82.9
Ml,1997,75.6
Ml,1998,73.7
Ml,1999,81.7
MN,1990,90.7
MN,1991,86.2
MN,1992,83.8
MN,1993,81.6
MN,1994,83.4
MN,1995,84.1
MN,1996,81.7
MN,1997,84.1
MN,1998,83.2
MN,1999,80.7
MS,1990,101.8
MS,1991,105.6
MS,1992,103.9
MS,1993,105.4
MS,1994,106
MS,1995,107.5
MS,1996,106.9
MS,1997,106.3
MS,1998,107
MS,1999,103.9
MO,1990,119.1
MO,1991,119.9
MO,1992,122.3
MO,1993,121.6
MO,1994,119.4
MO,1995,124
MO,1996,124.1
MO,1997,120.6
MO,1998,120.1
MO,1999,118
MT,1990,84.7
MT,1991,82.9
MT,1992,86.6
MT,1993,86
MT,1994,88.2
MT,1995,90.5
MT,1996,87.3
MT,1997,88.9
MT,1998,89.1
MT,1999,82.6
NE,1990,89.9
NE,1991,92.4
NE,1992,90.6
NE,1993,91.1
NE,1994,85.9
NE,1995,88.5
NE,1996,86.2
NE,1997,85.5
NE,1998,79.7
NE,1999,86.8
NV,1990,137.3
NV,1991,115.5
NV,1992,110
NV,1993,108.1
NV,1994,105.2
NV,1995,100.9
NV,1996,99
NV,1997,95.6
NV,1998,102.4
NV,1999,103.9
NH,1990,152.4
NH,1991,144.8
NH,1992,143.7
NH,1993,148.9
NH,1994,153.8
NH,1995,158.5
NH,1996,158
NH,1997,174.4
NH,1998,173.8
NH,1999,171.7
NJ,1990,98.6
NJ,1991,86.7
NJ,1992,86.6
NJ,1993,82.9
NJ,1994,81.6
NJ,1995,81
NJ,1996,79.1
NJ,1997,77
NJ,1998,72.6
NJ,1999,63.6
NM,1990,70.8
NM,1991,69.9
NM,1992,71.4
NM,1993,69
NM,1994,68.2
NM,1995,67
NM,1996,65.7
NM,1997,61.8
NM,1998,62.6
NM,1999,59.7
NY,1990,93.7
NY,1991,86.4
NY,1992,82.4
NY,1993,78.2
NY,1994,71.6
NY,1995,70.5
NY,1996,65.9
NY,1997,64.5
NY,1998,64.9
NY,1999,62.9
NC,1990,133.7
NC,1991,132.7
NC,1992,128.8
NC,1993,129.7
NC,1994,112.7
NC,1995,124.9
NC,1996,129.7
NC,1997,125.6
NC,1998,126
NC,1999,113.1
ND,1990,77.1
ND,1991,85.2
ND,1992,74.4
ND,1993,83
ND,1994,81
ND,1995,80.6
ND,1996,80.8
ND,1997,77.5
ND,1998,79.1
ND,1999,74.7
OH,1990,115.5
OH,1991,113.2
OH,1992,112.3
OH,1993,108.9
OH,1994,108.6
OH,1995,111.7
OH,1996,107.6
OH,1997,108.6
OH,1998,106.4
OH,1999,104
OK,1990,88.4
OK,1991,87.8
OK,1992,86.3
OK,1993,86.2
OK,1994,104.8
OK,1995,109.5
OK,1996,110.8
OK,1997,111.8
OK,1998,112.2
OK,1999,111.4
OR,1990,102.5
OR,1991,100.1
OR,1992,101.6
OR,1993,98.7
OR,1994,96.6
OR,1995,94.6
OR,1996,94.3
OR,1997,89.5
OR,1998,84.2
OR,1999,79.9
PA,1990,101.3
PA,1991,102.5
PA,1992,96.2
PA,1993,94.7
PA,1994,95.4
PA,1995,95.4
PA,1996,93.3
PA,1997,92.9
PA,1998,92.1
PA,1999,91.1
Rl,1990,101.4
Rl,1991,103.6
Rl,1992,100.1
Rl,1993,94.1
Rl,1994,91.9
Rl,1995,90.8
Rl,1996,87.5
Rl,1997,90
Rl,1998,88.7
Rl,1999,86.9
SC,1990,118.6
SC,1991,121.5
SC,1992,112.9
SC,1993,115.2
SC,1994,112.2
SC,1995,109.2
SC,1996,102.9
SC,1997,124.5
SC,1998,126.9
SC,1999,109.4
SD,1990,88.3
SD,1991,91.8
SD,1992,93
SD,1993,91.6
SD,1994,94.8
SD,1995,98.6
SD,1996,92.3
SD,1997,88.8
SD,1998,88.3
SD,1999,83.5
TN,1990,121.8
TN,1991,120.6
TN,1992,121
TN,1993,120.8
TN,1994,118.8
TN,1995,125.4
TN,1996,119.2
TN,1997,118.9
TN,1998,119.7
TN,1999,115.8
TX,1990,85.6
TX,1991,79.6
TX,1992,77.2
TX,1993,81.3
TX,1994,78.8
TX,1995,75.2
TX,1996,74.6
TX,1997,72.6
TX,1998,73.2
TX,1999,67.8
UT,1990,53.4
UT,1991,53.5
UT,1992,55
UT,1993,56.2
UT,1994,55.8
UT,1995,52
UT,1996,54
UT,1997,57
UT,1998,42.3
UT,1999,43.9
VT,1990,124.3
VT,1991,120.9
VT,1992,126.5
VT,1993,117.2
VT,1994,120.3
VT,1995,123.2
VT,1996,102.5
VT,1997,97.7
VT,1998,97
VT,1999,94.1
VA,1990,118.9
VA,1991,109.1
VA,1992,108.2
VA,1993,105.4
VA,1994,106.2
VA,1995,106.7
VA,1996,104.6
VA,1997,108
VA,1998,105.6
VA,1999,102.1
WA,1990,83.4
WA,1991,78.7
WA,1992,81.1
WA,1993,79.4
WA,1994,72.6
WA,1995,67.4
WA,1996,58.1
WA,1997,55.6
WA,1998,56.4
WA,1999,55.1
WV,1990,104.1
WV,1991,100.1
WV,1992,98
WV,1993,111
WV,1994,104.2
WV,1995,115.8
WV,1996,112.7
WV,1997,114.5
WV,1998,114.6
WV,1999,112.4
Wl,1990,94.1
Wl,1991,95.5
Wl,1992,96.2
Wl,1993,91.2
Wl,1994,91.8
Wl,1995,93.5
Wl,1996,92.1
Wl,1997,91.9
Wl,1998,88.7
Wl,1999,84.4
WY,1990,96.9
WY,1991,109.1
WY,1992,110.8
WY,1993,108.4
WY,1994,111.2
WY,1995,115
WY,1996,110.3
WY,1997,108.8
WY,1998,102.9
WY,1999,104.8
AL,2000,96.2
AL,2001,90.5
AL,2002,84.8
AL,2003,82.2
AL,2004,87.9
AL,2005,82.4
AL,2006,83.3
AL,2007,80.2
AL,2008,78
AL,2009,75.6
AK,2000,66
AK,2001,65.2
AK,2002,63.7
AK,2003,63.6
AK,2004,63.6
AK,2005,60.2
AK,2006,54.5
AK,2007,52.9
AK,2008,47
AK,2009,45.8
AZ,2000,58.5
AZ,2001,54.1
AZ,2002,52
AZ,2003,48.2
AZ,2004,42.5
AZ,2005,42.3
AZ,2006,42.2
AZ,2007,37.5
AZ,2008,31.8
AZ,2009,28.6
AR,2000,99.4
AR,2001,101.7
AR,2002,87.2
AR,2003,91.6
AR,2004,79.8
AR,2005,82.1
AR,2006,81.4
AR,2007,78.4
AR,2008,77
AR,2009,72.6
CA,2000,41.6
CA,2001,38
CA,2002,35.8
CA,2003,34.7
CA,2004,33.1
CA,2005,33.1
CA,2006,32.9
CA,2007,31.8
CA,2008,30.3
CA,2009,28.8
CO,2000,73
CO,2001,70.4
CO,2002,66.2
CO,2003,63.8
CO,2004,60.7
CO,2005,57.9
CO,2006,53.1
CO,2007,51.1
CO,2008,48.4
CO,2009,46
CT,2000,71.4
CT,2001,68.7
CT,2002,66.4
CT,2003,59.7
CT,2004,53.1
CT,2005,49.9
CT,2006,50.9
CT,2007,50.5
CT,2008,47.4
CT,2009,45.9
DE,2000,140.7
DE,2001,141.4
DE,2002,142.4
DE,2003,184.2
DE,2004,176
DE,2005,178.8
DE,2006,183.6
DE,2007,185.2
DE,2008,133.3
DE,2009,122.8
DC,2000,50.2
DC,2001,43.9
DC,2002,44.4
DC,2003,45.6
DC,2004,38.4
DC,2005,37.3
DC,2006,42.2
DC,2007,38.1
DC,2008,38.1
DC,2009,33.4
FL,2000,82.5
FL,2001,78.6
FL,2002,77.9
FL,2003,76.7
FL,2004,74.2
FL,2005,75.3
FL,2006,71.9
FL,2007,69.9
FL,2008,67.9
FL,2009,70.6
GA,2000,88.1
GA,2001,85.9
GA,2002,79.5
GA,2003,83.1
GA,2004,68.1
GA,2005,70.2
GA,2006,68.2
GA,2007,64.7
GA,2008,61.6
GA,2009,58.8
Hl,2000,31.9
Hl,2001,42.8
Hl,2002,51.1
Hl,2003,51.2
Hl,2004,47.4
Hl,2005,47
Hl,2006,48
Hl,2007,43.7
Hl,2008,44
Hl,2009,41.1
ID,2000,66.9
ID,2001,66.7
ID,2002,63.3
ID,2003,64.7
ID,2004,60.8
ID,2005,58.3
ID,2006,58.8
ID,2007,58.6
ID,2008,55.9
ID,2009,52.4
IL,2000,70
IL,2001,67.1
IL,2002,70.9
IL,2003,51.4
IL,2004,60
IL,2005,52.2
IL,2006,51.5
IL,2007,48.6
IL,2008,47.9
IL,2009,45.2
IN,2000,125.5
IN,2001,121.4
IN,2002,121.4
IN,2003,101.1
IN,2004,97.7
IN,2005,96.1
IN,2006,98.7
IN,2007,102.3
IN,2008,81.7
IN,2009,78.9
IA,2000,88.9
IA,2001,86.5
IA,2002,85.4
IA,2003,85.4
IA,2004,83.7
IA,2005,83.9
IA,2006,85.3
IA,2007,76.3
IA,2008,57.6
IA,2009,53.8
KS,2000,79.8
KS,2001,78.1
KS,2002,77.5
KS,2003,60.7
KS,2004,56.3
KS,2005,54.9
KS,2006,55.4
KS,2007,53.1
KS,2008,51.7
KS,2009,49.1
KY,2000,156.2
KY,2001,152.6
KY,2002,140.8
KY,2003,175.8
KY,2004,174.4
KY,2005,181.8
KY,2006,145.3
KY,2007,141.9
KY,2008,141.9
KY,2009,126.4
LA,2000,104.3
LA,2001,83.1
LA,2002,97
LA,2003,82.9
LA,2004,85.6
LA,2005,91
LA,2006,77.3
LA,2007,86.7
LA,2008,87.9
LA,2009,82.6
ME,2000,82.9
ME,2001,81.2
ME,2002,79.6
ME,2003,74.6
ME,2004,72.4
ME,2005,71.5
ME,2006,64.8
ME,2007,58.5
ME,2008,55.2
ME,2009,52.3
MD,2000,57.7
MD,2001,58.1
MD,2002,56
MD,2003,49.5
MD,2004,48.9
MD,2005,48.7
MD,2006,48.9
MD,2007,48.3
MD,2008,43.3
MD,2009,35.4
MA,2000,58.3
MA,2001,54.8
MA,2002,55.5
MA,2003,47.5
MA,2004,43.6
MA,2005,42.7
MA,2006,44.1
MA,2007,43
MA,2008,43.1
MA,2009,34.6
Ml,2000,83.7
Ml,2001,79.2
Ml,2002,78.1
Ml,2003,72.3
Ml,2004,68.5
Ml,2005,57.9
Ml,2006,56.5
Ml,2007,55
Ml,2008,52.4
Ml,2009,50.6
MN,2000,76
MN,2001,74.2
MN,2002,71
MN,2003,71.7
MN,2004,73
MN,2005,65.7
MN,2006,55.6
MN,2007,53
MN,2008,50.9
MN,2009,48.7
MS,2000,97.2
MS,2001,93.9
MS,2002,91.5
MS,2003,91.2
MS,2004,88.4
MS,2005,88.8
MS,2006,92.2
MS,2007,88.8
MS,2008,93.6
MS,2009,89.5
MO,2000,113.8
MO,2001,107.8
MO,2002,99.2
MO,2003,106.4
MO,2004,105
MO,2005,103.4
MO,2006,105.1
MO,2007,100.6
MO,2008,100.1
MO,2009,97.2
MT,2000,75.5
MT,2001,74.8
MT,2002,74.4
MT,2003,71.7
MT,2004,68
MT,2005,63.5
MT,2006,51.6
MT,2007,52.6
MT,2008,52.6
MT,2009,49.8
NE,2000,77.6
NE,2001,69.8
NE,2002,77.3
NE,2003,68.4
NE,2004,61.8
NE,2005,61
NE,2006,59.5
NE,2007,60.1
NE,2008,63.2
NE,2009,59.8
NV,2000,93.2
NV,2001,90.5
NV,2002,82.2
NV,2003,86.6
NV,2004,69.9
NV,2005,69.7
NV,2006,68.5
NV,2007,65.5
NV,2008,61.9
NV,2009,53.5
NH,2000,147.3
NH,2001,136.1
NH,2002,131.6
NH,2003,146.2
NH,2004,148.4
NH,2005,138.6
NH,2006,135.5
NH,2007,131.6
NH,2008,113.5
NH,2009,116.6
NJ,2000,60.1
NJ,2001,57.7
NJ,2002,58.4
NJ,2003,48.1
NJ,2004,43
NJ,2005,37.5
NJ,2006,37.7
NJ,2007,34.2
NJ,2008,34.2
NJ,2009,32.6
NM,2000,53.8
NM,2001,53.7
NM,2002,52.2
NM,2003,53.5
NM,2004,35.4
NM,2005,35.5
NM,2006,35.4
NM,2007,34.6
NM,2008,34
NM,2009,32.7
NY,2000,57.8
NY,2001,48
NY,2002,46.5
NY,2003,35.3
NY,2004,33.7
NY,2005,32.4
NY,2006,32.4
NY,2007,32.3
NY,2008,31.5
NY,2009,24.8
NC,2000,109
NC,2001,100.1
NC,2002,98.5
NC,2003,97.7
NC,2004,95.6
NC,2005,93.8
NC,2006,89.6
NC,2007,78.3
NC,2008,73.7
NC,2009,69.6
ND,2000,72.5
ND,2001,70.1
ND,2002,68.5
ND,2003,65.7
ND,2004,65.7
ND,2005,66
ND,2006,73.7
ND,2007,75.9
ND,2008,74
ND,2009,72.9
OH,2000,99.9
OH,2001,100
OH,2002,96.8
OH,2003,90.2
OH,2004,85.9
OH,2005,89
OH,2006,70.5
OH,2007,67.8
OH,2008,64.7
OH,2009,61.6
OK,2000,108.9
OK,2001,108.1
OK,2002,102
OK,2003,103
OK,2004,101.6
OK,2005,98.2
OK,2006,87.2
OK,2007,85.8
OK,2008,86.7
OK,2009,79
OR,2000,72
OR,2001,68.6
OR,2002,66.6
OR,2003,60.9
OR,2004,55.2
OR,2005,53.2
OR,2006,54.7
OR,2007,55.5
OR,2008,50.4
OR,2009,48.4
PA,2000,87.9
PA,2001,86.8
PA,2002,86.9
PA,2003,74.7
PA,2004,68.9
PA,2005,62.8
PA,2006,62.4
PA,2007,60.8
PA,2008,61.4
PA,2009,59.2
Rl,2000,83.1
Rl,2001,79.5
Rl,2002,74.7
Rl,2003,67.3
Rl,2004,61.1
Rl,2005,49.4
Rl,2006,47.3
Rl,2007,45.3
Rl,2008,43.6
Rl,2009,44.7
SC,2000,103.9
SC,2001,96.6
SC,2002,97.5
SC,2003,95.7
SC,2004,92.2
SC,2005,94
SC,2006,96.4
SC,2007,91.2
SC,2008,89.1
SC,2009,85
SD,2000,75.1
SD,2001,78.1
SD,2002,75.4
SD,2003,73.2
SD,2004,69.3
SD,2005,68.7
SD,2006,69.2
SD,2007,58.5
SD,2008,49.5
SD,2009,49.7
TN,2000,108.7
TN,2001,103.5
TN,2002,103.4
TN,2003,93.2
TN,2004,96.5
TN,2005,97
TN,2006,98.7
TN,2007,107.4
TN,2008,69.5
TN,2009,77
TX,2000,69.3
TX,2001,62.1
TX,2002,58.3
TX,2003,58.9
TX,2004,55.8
TX,2005,55.4
TX,2006,54.3
TX,2007,49.3
TX,2008,43.9
TX,2009,42.3
UT,2000,40.7
UT,2001,38.7
UT,2002,40.1
UT,2003,36.5
UT,2004,34.2
UT,2005,33.6
UT,2006,34.5
UT,2007,32.9
UT,2008,31.3
UT,2009,27.6
VT,2000,88.9
VT,2001,94.3
VT,2002,93
VT,2003,77.9
VT,2004,69.2
VT,2005,63.9
VT,2006,63.9
VT,2007,54.5
VT,2008,51.6
VT,2009,48.9
VA,2000,96.7
